Job Title,Company Name,Location,Job Description,Job role,Education,Key Skill,Reviews,Applicants,Openings
Data Scientist I,Elitefitai,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,We are looking for a Data Scientist who is excited to work in a startup environment and build Vision AI models capable of running at internet scale An ideal candidate will have handson experience in solving realworld problems using machine learning andor deep learning Knowledge of existing AI frameworks understanding of basiclatest algorithms and experience deploying models in production is an added plus         Who should apply        BSMS in Computer Science or a related technical field with experience in ML and DL         years of software engineering with excellent command over Data Structures and Algorithms Strong problem solving and analytical skills        Experience building MLDL models collecting training data testing and measuring via business metrics Experience in Vision AI an added plus        Able to thrive in a dynamic environment where goals and requirements may be changing        Good communication skills  You can communicate well in the English language with product managers your team members and external stakeholders to understand their needs and convey yours in a clear precise manner  verbally or in writing        Deadline oriented You understand that deadlines are meant to be met Challenges will surface obstacles and roadblocks will cause delays but you plan for them in advance and still ship your features on time to meet your commitments        Bias for action Your default setting is to take action and not wait for things to happen        You love to learn about new technologies and advancements in the software industry         Responsibilities        Design and build activity recognition engine accuracy models and assist features for workout videos on top of SOTA pose estimation models        Design and build metrics to assess the quality of models        Ability to code debug and update models to improve quality and speed        Partner with Software Engineering teams to deploy and push models to production        Communicate with technical and nontechnical peers       xa,Role Data ScientistIndustry Type InternetDepartment Data Science  AnalyticsEmployment Type Full Time PermanentRole Category Data Science  Machine Learning,EducationUG Any GraduatePG Any Postgraduate,Key SkillsComputer scienceTrainingdeep learningC++Quality improvementMachine learningData structuresDeploymentRubyPython,,3169.0,1
Mechanical Engineer,Nordic Intent,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Nordic Intent LLP is looking for Mechanical Engineer to join our dynamic team and embark on a rewarding career journey    Designing manufacturing and installing components that fulfill requirements    Analyzing problems or deficiencies and developing solutions to resolve them    Conducting experiments and evaluations to improve and innovate product designs    Creating plans and designs using CAD technology    Estimating budgets and time scopes for each project    Writing technical documentation for machine operators    Ensuring that products meet compliance regulations    Collaborating with project managers and other engineers in our team,Role OtherIndustry Type IT Services  ConsultingDepartment OtherEmployment Type Full Time PermanentRole Category Other,EducationUG Any GraduatePG Any Postgraduate,Key SkillsComplianceCADMechanicalManager TechnologyTechnical documentation,4.151,757.0,1
Marketing Associate,Sleek Tech,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,We are now seeking a dynamic and motivated Marketing Associate  Content to join our team    To be considered for this role you ideally have some experience creating and optimising SEOrelated content including generating and uploading content to a website       Duties and Responsibilities        Develop highquality SEOfriendly content to drive relevant and meaningful traffic to the website    Utilise AI tools to generate content and then assess and improve for readability    Create suitable graphics as well as select brandaudience appropriate imagery using Canva or other tools to complement the article and enhance readability    Work in collaboration with the country marketing team and the Content Lead to do competitor mapping and identify keyword gaps    Utilise SEO tools to optimise content for search engines    Regularly upload and update content on the website ensuring accuracy and alignment with brand guidelines    Regularly audit and report content performance suggest improvements take corrective action as needed and share timely reports with the team    Work closely with the Content Lead and Local Marketing Manager to align content strategy with overarching marketing goals      Qualification in Marketing Communications or a related field    Advanced English proficiency level    Excellent written and verbal communication skills    Understanding of digital marketing principles and SEO    Expertise with AI tools for content generation is mandatory    Ability to work collaboratively in a team and take initiative independently    Data driven detailoriented with strong organisational skills    Familiarity with SurferSEO or similar SEO software is desirable    Familiarity with Wordpress or similar CMS software is desirable    Knowledge or background in Accounting and Tax is a plus      An industry competitive salary package    Health care for you and a dependant    Work remotely from your home and work from anywhere in the world for a month    Paid sick leave    A close knit team of supportive colleagues and a culture that is fun friendly and committed to your career development    An environment that encourages innovation and the autonomy and freedom to apply your expertise,Role Social Media MarketingIndustry Type Accounting  AuditingDepartment Marketing  CommunicationEmployment Type Full Time PermanentRole Category Digital Marketing,EducationUG Any GraduatePG Any Postgraduate,Key SkillsGraphicsCareer developmentWordpressCMSHealthcarecontent leadSEODigital marketingMarketing AssociateAuditing,2.34,56.0,1
Trainee - Civil Engineer,Nordic Intent,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Analysis of concreteasphalt pavementroads     Zone division and mapping     Rating of asphaltconcrete as per ASCE USA code     Providing technical solutions and consultation     Budget allocation,Role Civil EngineerIndustry Type IT Services  ConsultingDepartment Construction  Site EngineeringEmployment Type Full Time PermanentRole Category Construction Engineering,EducationUG Any GraduatePG Any Postgraduate,Key SkillsCivilConsultingAsceBudgeting,4.151,527.0,1
Accounts and Marketing Trainee,Appsierra Solutions,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Bachelors degree in accounting Finance Marketing or a related field   Proven experience in bookkeeping and financial record management   Previous exposure to marketing functions including email and social media campaigns   Familiarity with LinkedIn outreach and networking strategies   Ability to manage and coordinate campus ambassador programs   Proficient in using accounting software MS Office Suite tally and marketing tools    Responsibilities     Accounts    Perform bookkeeping tasks and maintain accurate financial records   Prepare invoices review account work and reconcile ledgers   Collaborate with the finance team to ensure compliance with financial regulations   Assist in the preparation of financial statements and support audit processes    Marketing    Execute email campaigns to promote products or services   Plan and implement WhatsApp campaigns to engage with the target audience   Pitch and network on LinkedIn to expand the companys online presence   Oversee and manage campus ambassador programs to enhance brand visibility   Establish and maintain partnerships with colleges to strengthen brand relationships,Role Marketing  OtherIndustry Type IT Services  ConsultingDepartment Marketing  CommunicationEmployment Type Full Time PermanentRole Category Marketing,EducationUG Any GraduatePG Any Postgraduate,Key SkillsMS Office suiteTallyFinancial statementsMarketing TraineeNetworkingSocial mediaBook KeepingManagementAccounting softwareAuditing,4.6242,1006.0,1
"Associate - VKYC, Support",SBI Card,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Review  execute and decision the allocated cases for Video KYC processes  This includes close coordination with the sales team spocs as well as the customer by conducting the Video KYC verification for potential existing customer base in line with the process policy defined     Ensure  adherence to the regulationspolicy defined for Video KYC process as well as KYC documents  Officially valid documents OVDs    Ensure accurate updation of the decisioning filessystem for the final decisions on the cases    Ensure that the benchmark productivity accuracy TAT target is met also support team targets for the same    Ensure prioritisation and closure of urgent customerinternal stakeholders emails as well as VKYC refferals    Review the process and proactively identify the gaps highlight the same for changes  including communication templatescustomer concernsRCAs    Maintaintrack process specific responsibilities assigned for any new changes in policiessystemsprocesses    Ensure near zero complaints from internal as well as external customers by ensuring accurate timely execution of responsibilities    Cater to exceptional requests escalation queries and activities as required by the business,Role IT Support  OtherIndustry Type Education  TrainingDepartment IT  Information SecurityEmployment Type Full Time PermanentRole Category IT Support,EducationUG Any GraduatePG Any Postgraduate,Key SkillsRCASales,3.73504,901.0,1
Technical - Recruiter,Artech India,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Artech India is looking for Technical  Recruiter to join our dynamic team and embark on a rewarding career journey    Candidate Sourcing Use various sourcing methods such as job boards social networks professional associations and internal databases to identify potential candidates for technical and IT roles    Job Postings Create and post job listings for technical positions ensuring that they are compelling and optimized for relevant job boards and websites    Candidate Screening Review resumes conduct initial phone screens and assess candidates qualifications to determine their suitability for technical roles    Technical Assessment Evaluate candidates technical skills and knowledge through interviews technical assessments and reference checks    Interview Coordination Schedule and conduct interviews including technical and behavioral interviews with candidates to assess their fit for the organization    Candidate Experience Ensure a positive candidate experience throughout the recruitment process providing feedback communicating status updates and addressing candidate questions and concerns    Collaboration Work closely with hiring managers and technical teams to understand their staffing needs and preferences aligning recruitment efforts with departmental goals    Talent Pipelining Build and maintain a talent pipeline of potential candidates for future technical positions fostering ongoing relationships    Offer Negotiation Assist in preparing and negotiating job offers ensuring they are competitive and align with the organizations compensation structure    Onboarding Collaborate with HR and onboarding teams to facilitate the smooth transition of new hires into their roles    Data Management Maintain accurate and uptodate candidate and recruitment data in applicant tracking systems ATS or databases    Compliance Ensure that all recruitment practices comply with legal and regulatory requirements including equal employment opportunity EEO laws    Market Insights Stay informed about industry trends technical advancements and market dynamics to understand the evolving talent landscape,Role IT RecruiterIndustry Type IT Services  ConsultingDepartment Human ResourcesEmployment Type Full Time PermanentRole Category Recruitment  Talent Acquisition,EducationUG Any GraduatePG Any Postgraduate,Key SkillsData managementComplianceStaffingLegalTransitionHRRecruitment,3.285,900.0,1
Executive - Finance,Artech India,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,The Finance Executive plays a crucial role in overseeing and managing financial activities within an organization    This role involves financial analysis budgeting financial reporting and supporting strategic decisionmaking    The Finance Executive collaborates with crossfunctional teams provides financial insights ensures compliance with regulations and contributes to the overall financial health of the organization      Responsibilities      Financial Planning and AnalysisAssist in the development and implementation of financial plans budgets and forecasts    Conduct financial analysis including variance analysis trend analysis and key performance indicators KPIs to support decisionmaking    Monitor and analyze financial data identifying areas for improvement and costsaving opportunities    Collaborate with other departments to gather financial information and provide insights for business planning and strategy    Financial Reporting and CompliancePrepare and review financial statements including balance sheets income statements and cash flow statements    Ensure timely and accurate financial reporting adhering to accounting principles and regulatory requirements    Monitor compliance with internal controls policies and procedures    Support external audits and coordinate with auditors to provide necessary financial information    Budgeting and Cost ManagementAssist in the preparation and monitoring of budgets providing analysis and recommendations to optimize resource allocation    Monitor and control expenses identifying costsaving measures and efficiency improvements    Track and analyze budget variances providing explanations and recommendations for corrective actions    Cash Flow ManagementMonitor and manage cash flow ensuring sufficient liquidity for operational needs and financial obligations    Prepare cash flow forecasts and projections identifying potential cash flow gaps or surpluses    Manage working capital including accounts receivable and accounts payable optimizing cash flow cycles    Financial Systems and ProcessesContribute to the development and improvement of financial systems processes and controls    Implement and maintain financial software and tools to support efficient financial operations    Identify opportunities for automation and streamlining of financial processes    Financial Risk ManagementIdentify financial risks and develop risk mitigation strategies    Monitor and manage financial risks including credit risk liquidity risk and market risk    Develop and implement internal controls to safeguard assets and ensure compliance with regulations    Stakeholder Communication and Relationship ManagementCollaborate with internal stakeholders such as management department heads and business partners to provide financial insights and support decisionmaking    Present financial analysis reports and recommendations to stakeholders including senior management and the board of directors    Foster effective relationships with external stakeholders such as banks auditors and regulatory bodies    Continuous ImprovementStay updated with industry trends best practices and regulatory changes in finance    Continuously evaluate and improve financial processes systems and controls    Identify opportunities for process automation efficiency gains and cost savings      Qualifications      Bachelors degree in Finance Accounting or a related field    Professional certifications such as CPA Certified Public Accountant or CFA Chartered Financial Analyst are desirable    Proven experience in finance roles with a focus on financial analysis financial reporting or financial planning and analysis    Strong understanding of financial principles accounting standards and financial regulations    Proficiency in financial analysis techniques financial modeling and budgeting    Advanced skills in MS Excel and financial software applications    Knowledge of financial systems and tools such as ERP Enterprise Resource Planning systems    Familiarity with financial risk management and internal control frameworks    Excellent analytical and problemsolving skills with attention to detail    Strong communication and presentation skills with the ability to convey complex financial information to nonfinancial stakeholder,Role Finance ExecutiveIndustry Type IT Services  ConsultingDepartment Finance  AccountingEmployment Type Full Time PermanentRole Category Finance,EducationUG Any GraduatePG Any Postgraduate,Key SkillsERPFinancial statementsFinancial reportingFinancial analysisCash flow managementFinancial planningBusiness planningCash flowVariance analysisMonitoring,3.285,2608.0,1
Customer Service - Sales - Housing - EM - Sales,Tata Capital,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Achieving business targets as laid down by acquiring new client relationships and maintaining them   Graduate in any discipline   Identify target areas for prospective business    Prescreen customer segments as per the organization norms    Ensure the number of log in along with disbursement    Ensure high customer satisfaction level by proactively understanding customer needs and cross sell multiple products as per the requirements    Execute sales promotion activities to build customer interest in the TCFSL brand    Build strong client relationships both internally and externally and build a strong brand identification with potential customers    Ensure vendor empanelment and develop relationships with new vendors    Develop strong distribution channels    Ensure compliance to all Audit  RBI regulations,Role Field Sales ExecutiveIndustry Type Financial ServicesDepartment Sales  Business DevelopmentEmployment Type Full Time PermanentRole Category Retail  BC Sales,EducationUG Any GraduatePG Any Postgraduate,Key SkillsComplianceCustomer satisfactionCREService salesCustomer serviceSales promotionAuditing,4.02,1084.0,1
Associate - Recruiter,Artech India,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,As an Associate Recruiter your primary responsibility is to support the recruitment process within an organization   You work closely with the recruiting team or the HR department to identify and attract qualified candidates for open positions   Here are some key aspects of the roleJob Posting and Sourcing You assist in creating job descriptions and posting them on various job boards and company websites   You also participate in sourcing activities to identify potential candidates through online platforms social media referrals and other sources   Screening and Selection You review resumes and applications received for open positions screen candidates based on predetermined criteria and conduct initial phone or video interviews   You may also administer preemployment assessments or tests as required   Interview Coordination You help schedule interviews between candidates and hiring managers ensuring that all necessary arrangements are made such as coordinating availability booking interview rooms and sending interview confirmations   Candidate Relationship Management You maintain regular communication with candidates throughout the recruitment process providing updates on their application status and gathering feedback   You may also answer candidate inquiries and address any concerns they may have   Applicant Tracking System ATS Management You use an ATS or recruitment software to track candidate information update candidate profiles and maintain recruitmentrelated data   You ensure that the system is up to date and accurate   Documentation and Compliance You assist in preparing employment contracts offer letters and other recruitmentrelated documentation   You also ensure compliance with legal and company requirements such as data protection regulations and equal employment opportunity guidelines   Recruitment Reporting You generate recruitment reports and metrics to track key performance indicators KPIs such as timetofill source of hire and candidate conversion rates   These reports help evaluate the effectiveness of the recruitment process and identify areas for improvement   Employer Branding You contribute to employer branding initiatives by promoting the organizations values culture and job opportunities through social media career fairs and other channels   You may also participate in employer branding events and activities    xa,Role IT RecruiterIndustry Type IT Services  ConsultingDepartment Human ResourcesEmployment Type Full Time PermanentRole Category Recruitment  Talent Acquisition,EducationUG Any GraduatePG Any Postgraduate,Key SkillsAssociate - Recruiter,3.285,796.0,1
Executive - Talent Acquisition,Artech India,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,As an Executive  Talent Acquisition your primary responsibility is to attract source and recruit top talent to meet the organizations staffing needs   You will play a critical role in the talent acquisition process from sourcing candidates to conducting interviews and facilitating the hiring process   Here is a comprehensive job description for an Executive  Talent AcquisitionRecruitment Strategy and PlanningCollaborate with hiring managers and stakeholders to understand staffing needs and develop recruitment strategies   Conduct job analysis and create job descriptions and specifications for open positions   Develop and implement effective sourcing strategies to attract a diverse pool of qualified candidates   Stay updated with industry trends recruitment best practices and innovative sourcing techniques   Candidate Sourcing and ScreeningSource candidates through various channels including job portals social media professional networks and referrals   Review resumes assess candidate qualifications and conduct initial screening to shortlist potential candidates   Conduct phone or video interviews to evaluate candidate suitability and assess their skills experience and cultural fit   Maintain candidate databases and applicant tracking systems ATS with accurate and uptodate candidate information   Interviewing and SelectionCoordinate and schedule interviews with candidates hiring managers and interview panels   Conduct inperson or virtual interviews using behavioral and competencybased interviewing techniques   Evaluate candidate performance provide feedback and make recommendations to hiring managers   Facilitate candidate assessments tests or exercises to evaluate specific skills or competencies as required   Relationship ManagementBuild and maintain relationships with candidates ensuring a positive candidate experience throughout the recruitment process   Collaborate with hiring managers and stakeholders to establish effective communication and alignment on candidate profiles and requirements   Develop relationships with external recruitment agencies universities and professional organizations to source potential candidates    xa,Role Recruitment  Talent Acquisition  OtherIndustry Type IT Services  ConsultingDepartment Human ResourcesEmployment Type Full Time PermanentRole Category Recruitment  Talent Acquisition,EducationUG Any GraduatePG Any Postgraduate,Key SkillsTalent Acquisition Executive,3.285,1109.0,1
Associate - Finance,Artech India,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Preparing financial reports budgets and forecastsConducting financial analysis and interpreting dataIdentifying and recommending ways to reduce costs and increase revenue   Assisting with financial audits and compliance reviewsManaging financial transactions and accounts payablereceivablePerforming financial modeling and scenario analysisRequirementsStrong analytical and problemsolving skillsExcellent written and verbal communication skills   Proficiency in Microsoft Excel and other financial softwareKnowledge of financial regulations and compliance requirementsAbility to manage multiple priorities and deadlines,Role Financial AnalystIndustry Type IT Services  ConsultingDepartment Finance  AccountingEmployment Type Full Time PermanentRole Category Finance,EducationUG Any GraduatePG Any Postgraduate,Key SkillsFinancial Associate,3.285,1994.0,1
Executive - Accounts,Artech India,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,As an Executive in the Accounts department your primary responsibilities would include managing financial transactions maintaining financial records and ensuring compliance with financial regulations    Here are some key duties and tasks associated with the roleFinancial Reporting Prepare and analyze financial statements including profit and loss statements balance sheets and cash flow statements    Generate financial reports for management and stakeholders    Budgeting and Forecasting Assist in the development and monitoring of the companys budget    Prepare financial forecasts and variance analysis to help identify areas of concern or improvement    Accounts Payable Process vendor invoices ensure accuracy and timeliness of payments and maintain vendor records    Coordinate with other departments to resolve any discrepancies or payment issues    Accounts Receivable Manage customer invoicing track receivables and follow up on overdue payments    Maintain accurate records of customer accounts and ensure timely collection of outstanding amounts    General Ledger Maintenance Maintain the general ledger by recording all financial transactions accurately and in a timely manner    Reconcile accounts and resolve any discrepancies or errors    Financial Analysis Conduct financial analysis to identify trends opportunities and areas for cost reduction or revenue enhancement    Provide insights and recommendations based on the analysis to support decisionmaking    Compliance and Audit Ensure compliance with financial regulations accounting principles and internal controls    Assist in coordinating and providing information for internal and external audits    Payroll Processing Collaborate with the HR department to process payroll accurately and on time    Ensure proper deductions tax withholdings and compliance with payrollrelated regulations    Financial Software and Systems Utilize accounting software and systems to manage financial data streamline processes and generate accurate reports    Stay updated with the latest software enhancements and industry best practices    Communication and Collaboration Collaborate with crossfunctional teams such as finance operations and management to provide financial insights and support decisionmaking    Communicate effectively with internal and external stakeholders regarding financial matters,Role Finance ExecutiveIndustry Type IT Services  ConsultingDepartment Finance  AccountingEmployment Type Full Time PermanentRole Category Finance,EducationUG Any GraduatePG Any Postgraduate,Key SkillsAccounts Executive,3.285,1878.0,1
Executive - Finance,Artech India,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Preparation of Financial Statements  Bank Reconciliation  Adherence to US taxation and accounting laws  Monthly Expense provisioningaccruals  Departmental Allocations  Trend Analysis  Financial Analysis and Control    Competencies Required   Strong hold over accounting and taxation concepts  Practical on the job experience during articleshiptrainingjob  Preferable  experience in US accounting and tax filing  Finance qualification  Analytical abilities in dealing with large volume of data  Experience in auditing expense and financial statements,Role Finance ExecutiveIndustry Type IT Services  ConsultingDepartment Finance  AccountingEmployment Type Full Time PermanentRole Category Finance,EducationUG Any GraduatePG Any Postgraduate,Key SkillsTrainingFinancial statementsBank reconciliationFinancial analysisAccountingAnalyticalTrend analysisFinance ExecutiveTaxationAuditing,3.285,4967.0,1
Executive,Artech India,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,People Management                                                   Preparing various MIS reports Dash Boards and companys profitability                               Posting GL entries                                         Filing Surveys and RFPs                               Data Management including extraction of raw data from the source database and converting it to useful information                     Data Management through Excel           Data              Handling in People Soft           Data entry and retrieval of information,Role Data Entry  MISIndustry Type IT Services  ConsultingDepartment Customer Success Service  OperationsEmployment Type Full Time PermanentRole Category Back Office,EducationUG Any GraduatePG Any Postgraduate,Key SkillsMIS reportingRFPSExecutiveExcelData managementPeopleSoftDatabaseData entry,3.285,2296.0,1
Executive - Accounts,Artech India,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Preparation of Financial Statements   Bank Reconciliation   Adherence to US taxation and accounting laws   Monthly Expense provisioningaccruals   Departmental Allocations   Trend Analysis   Financial Analysis and Control     Competencies Required   Strong hold over accounting and taxation concepts   Practical on the job experience during articleshiptrainingjob   Preferable  experience in US accounting and tax filing   Finance qualification   Analytical abilities in dealing with large volume of data   Experience in auditing expense and financial statements,Role Accountant  Accounts ExecutiveIndustry Type IT Services  ConsultingDepartment Finance  AccountingEmployment Type Full Time PermanentRole Category Accounting  Taxation,EducationUG Any GraduatePG Any Postgraduate,Key SkillsTrainingFinancial statementsBank reconciliationFinancial analysisAccountingAnalyticalTrend analysisAccounts ExecutiveTaxationAuditing,3.285,4052.0,1
Sales Intern,Smart Ed Techno Solutions,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Excellent understanding of social media and handling of business pages of a company        Excellent understanding of LinkedIn and its career pages       Willingness to understand and handle the business requirements of the company        Excellent administrative and organizational skills         Effective communication interpersonal and people skills         Proficiency in handling Microsoft Office applications like MS Excel MS PowerPoint and MS Word etc          Qualifications          Final year students from Marketing or equivalent fields       Women looking to restart their career can also apply          Internship Details          Experience  year,Role Direct Sales ExecutiveIndustry Type Education  TrainingDepartment Sales  Business DevelopmentEmployment Type Full Time PermanentRole Category Retail  BC Sales,EducationUG Any GraduatePG Any Postgraduate,Key SkillsAdministrationTalent acquisitionStaffingSocial mediaWeb developmentHRPowerpointMS OfficeInternshipRecruitment,,69.0,1
HR INTERNSHIP (RECRUITMENT),Smart Ed Techno Solutions,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Looking to broaden your horizons and venture in the field of Human Resources Look no further come work with us at Genie Hire Genie Hire is a reputed firm serving pan India since  It has been immensely successful in creating a global presence in software and Web development   Genie hire has ventured its way into Recruitment as a recruitment consultancy We cater to the needs of all startups midsized companies to big MNCs as well We also tie up with HR managers to Talent Acquisition partners for finding their staffing needs We specialize in ITNon IT domesticinternational hiring as well       Requirements     Proficiency in handling Microsoft Office applications like MS Excel PowerPoint and MS Word etc        Excellent administrative and organizational skills        Effective communication interpersonal and people skills        Effective recruitment         Qualifications         Final year students from Human Resources or equivalent field  Women looking to restart their career can also apply         Internship Details         Experience  year      xa    Perks and Benefits   Commission basis for every lead onboarded you get a commission,Role IT RecruiterIndustry Type Education  TrainingDepartment Human ResourcesEmployment Type Full Time PermanentRole Category Recruitment  Talent Acquisition,EducationUG Any GraduatePG Any Postgraduate,Key SkillsAdministrationExcelTalent acquisitionStaffingWeb developmentHRMS WordMS OfficeInternshipRecruitment,,545.0,1
HR Intern,Smart Ed Techno Solutions,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Skills Required       Proficiency in handling Microsoft Office applications like Ms Excel PowerPoint and Ms Word etc   Excellent administrative and organizational skills   Effective communication interpersonal and people skills   Effective recruitment   xa    Qualifications       Final year students from Human Resources or equivalent field      Internship Details       Experience  year,Role HR GeneralistIndustry Type Education  TrainingDepartment Human ResourcesEmployment Type Full Time PermanentRole Category HR Operations,EducationUG Any GraduatePG Any Postgraduate,Key SkillsTrainingAdministrationExcelHR InternHRMS WordMS OfficePowerpointInternshipRecruitment,,221.0,1
VRX Consultant,VISION RX LAB,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Business Development     Implementation of marketing strategies in all the respective territories   Supporting marketing activities by attending trade shows conferences and other marketing events   Developing longterm relationships with clients through managing and interpreting their requirements   Liaison with other members of the sales team and other technical experts   Providing presales technical assistance and product education to client on a regular basis   Making technical presentations and demonstrating how a product meets client needs       Training      Providing training and producing support material for other members of the sales team   Providing training to the Inhouse team Sales Team Customer Service Team  New Joinees on products and services   Arranging and carrying out product training and analysing sales of product and act accordingly       Trouble Shooting     Handling and addressing all the customer  product queries    Prepare a monthly report on the technical issues faced and resolved    Performance Assessment  Appraisal will be based upon the business generation of the product at the particular region,Role Technical TrainerIndustry Type Medical Services  HospitalDepartment Teaching  TrainingEmployment Type Full Time PermanentRole Category Corporate Training,EducationUG Any GraduatePG Any Postgraduate,Key SkillsProduct trainingProduction managementSalesProductionPresalesCustomer serviceSales trainingManagementTroubleshootingEvent marketing,4.3151,1299.0,1
Digital Marketing Trainee,Hello Brand,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,If you are trained and aware of the new social media trends and emerging marketing strategies we are ready to provide a golden opportunity of working with the most equipped digital marketing professionals     Must have indepth knowledge in    On page   Offpage   Social media management   Google Ads,Role Marketing and Communication  OtherIndustry Type Advertising  MarketingDepartment Marketing  CommunicationEmployment Type Full Time PermanentRole Category Marketing and Communication  Other,EducationUG Any GraduatePG Any Postgraduate,Key SkillsMedia managementSocial mediadigital marketing trainee,,587.0,1
Retail Sales Executive,Ample Technologies,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,People who have experience in the apparel or footwear domain are eligible to apply      Greeting customer s find out the needs      To be a sales consultant to the customer      Describing a product s features demonstrate use and operation of the product      Handling customer queries regarding the store and the merchandise      Providing information about warranties manufacturing specifications care and maintenance of merchandise and delivery options      Key Requisites      Maintain sales reports to keep a track of the progress      Excellent communication skills both written and verbal      Fast learner and passion for sales      A positive confident and determined approach      The skills to work both independently and as part of a team      Flexibility to work various shifts      Self driven goal oriented and willing to work on weekend,Role Retail SalesIndustry Type Recruitment  StaffingDepartment Sales  Business DevelopmentEmployment Type Full Time PermanentRole Category Retail  BC Sales,EducationUG Any GraduatePG Any Postgraduate,Key SkillsRetail merchandisingRetail Sales ExecutiveSales ExecutiveMerchandisingRetail sales,3.8252,1597.0,1
Customer Service - Sales - Housing - EM,Tata Capital,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Achieving business targets as laid down by acquiring new client relationships and maintaining them    Graduate in any discipline     Identify target areas for prospective business     Prescreen customer segments as per the organization norms     Ensure the number of log in along with disbursement     Ensure high customer satisfaction level by proactively understanding customer needs and cross sell multiple products as per the requirements     Execute sales promotion activities to build customer interest in the TCFSL brand     Build strong client relationships both internally and externally and build a strong brand identification with potential customers     Ensure vendor empanelment and develop relationships with new vendors     Develop strong distribution channels     Ensure compliance to all Audit  RBI regulations,Role Customer ServiceIndustry Type Financial ServicesDepartment Customer Success Service  OperationsEmployment Type Full Time PermanentRole Category Customer Success Service  Operations  Other,EducationUG Any GraduatePG Any Postgraduate,Key SkillsComplianceCustomer satisfactionCREService salesCustomer serviceVendorSales promotionAuditing,4.02,436.0,1
Administration & HR Intern,Action For India,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Responsible for screening resumes based on selection criteria for various open positions   Responsible for maintaining virtual files on the organization DriveDesign and create overall look and feel for graphics projects   Responsible for supporting the selection process and other administrative duties towards ensuring process efficiency      Skills Required    The offer is open to all courses provided the candidate meets the skill requirement Please ensure you have adequately proved your skill through your CV submission     Excellent communication skills   Willingness to learn and grow   Flexibility to work beyond stipulated working hours   Working knowledge of MS Office Suite   Prior HR experience will be an added advantage   Certificate upon successful completion of internship    Letter of recommendation to exceptional performers,Role Human Resources  OtherIndustry Type NGO  Social Services  Industry AssociationsDepartment Human ResourcesEmployment Type Full Time PermanentRole Category Human Resources  Other,EducationUG Any GraduatePG Any Postgraduate,Key SkillsGraphicsMS Office suiteSelection processAdministrationProcess efficiencyHR InternHRInternship,1.02,322.0,1
Customer Service - Sales - Housing,Tata Capital,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Achieving business targets as laid down by acquiring new client relationships and maintaining them    Graduate in any discipline     Identify target areas for prospective business     Prescreen customer segments as per the organization norms     Ensure the number of log in along with disbursement     Ensure high customer satisfaction level by proactively understanding customer needs and cross sell multiple products as per the requirements     Execute sales promotion activities to build customer interest in the TCFSL brand     Build strong client relationships both internally and externally and build a strong brand identification with potential customers     Ensure vendor empanelment and develop relationships with new vendors     Develop strong distribution channels     Ensure compliance to all Audit  RBI regulations,Role Customer ServiceIndustry Type Financial ServicesDepartment Customer Success Service  OperationsEmployment Type Full Time PermanentRole Category Customer Success Service  Operations  Other,EducationUG Any GraduatePG Any Postgraduate,Key SkillsComplianceCustomer satisfactionCREService salesCustomer serviceSales promotionAuditing,4.02,1310.0,1
