Job Title,Company Name,Location,Job Description,Job Openings,Job role,Education,Key Skill
Data Scientist I,['Elitefit.ai'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['      We are looking for a Data Scientist, who is excited to work in a start-up environment, and build Vision AI models capable of running at internet scale. An ideal candidate will have hands-on experience in solving real-world problems using machine learning and/or deep learning. Knowledge of existing AI frameworks, understanding of basic/latest algorithms and experience deploying models in production is an added plus.         Who should apply        BS/MS in Computer Science or a related technical field with experience in ML and DL        0-4 years of software engineering with excellent command over Data Structures and Algorithms. Strong problem solving and analytical skills.        Experience building ML/DL models, collecting training data, testing and measuring via business metrics. Experience in Vision AI, an added plus.        Able to thrive in a dynamic environment where goals and requirements may be changing.        Good communication skills - You can communicate well in the English language with product managers, your team members, and external stakeholders, to understand their needs and convey yours, in a clear, precise manner - verbally, or in writing.        Deadline oriented. You understand that deadlines are meant to be met. Challenges will surface, obstacles and roadblocks will cause delays, but you plan for them in advance and still ship your features on time to meet your commitments.        Bias for action. Your default setting is to take action, and not wait for things to happen.        You love to learn about new technologies and advancements in the software industry.         Responsibilities        Design and build activity recognition engine, accuracy models and assist features for workout videos on top of SOTA pose estimation models.        Design and build metrics to assess the quality of models.        Ability to code, debug and update models to improve quality and speed.        Partner with Software Engineering teams to deploy and push models to production        Communicate with technical and non-technical peers       \xa0   ']",['Posted: 1 day agoOpenings: 1Applicants: 3169'],"['Role: Data Scientist,Industry Type: Internet,Department: Data Science & Analytics,Employment Type: Full Time, PermanentRole Category: Data Science & Machine Learning']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsComputer scienceTrainingdeep learningC++Quality improvementMachine learningData structuresDeploymentRubyPython']
Mechanical Engineer,['Nordic Intent4.151 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['Nordic Intent LLP is looking for Mechanical Engineer to join our dynamic team and embark on a rewarding career journey.    Designing, manufacturing, and installing components that fulfill requirements.    Analyzing problems or deficiencies and developing solutions to resolve them.    Conducting experiments and evaluations to improve and innovate product designs.    Creating plans and designs using CAD technology.    Estimating budgets and time scopes for each project.    Writing technical documentation for machine operators.    Ensuring that products meet compliance regulations.    Collaborating with project managers and other engineers in our team.    ']",['Posted: 1 day agoOpenings: 1Applicants: 757'],"['Role: Other,Industry Type: IT Services & Consulting,Department: Other,Employment Type: Full Time, PermanentRole Category: Other']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsComplianceCADMechanicalManager TechnologyTechnical documentation']
Marketing Associate,['Sleek Tech2.34 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['    We are now seeking a dynamic and motivated Marketing Associate - Content to join our team.    To be considered for this role: you ideally have some experience creating and optimising SEO-related content including generating and uploading content to a website.       Duties and Responsibilities:        Develop high-quality, SEO-friendly content to drive relevant and meaningful traffic to the website.    Utilise AI tools to generate content, and then assess and improve for readability.    Create suitable graphics, as well as select brand/audience appropriate imagery using Canva (or other tools) to complement the article and enhance readability.    Work in collaboration with the country marketing team and the Content Lead to do competitor mapping, and identify keyword gaps.    Utilise SEO tools to optimise content for search engines.    Regularly upload and update content on the website, ensuring accuracy and alignment with brand guidelines.    Regularly audit and report content performance, suggest improvements, take corrective action as needed, and share timely reports with the team.    Work closely with the Content Lead and Local Marketing Manager to align content strategy with overarching marketing goals.      Qualification in Marketing, Communications, or a related field.    Advanced English proficiency level.    Excellent written and verbal communication skills.    Understanding of digital marketing principles and SEO.    Expertise with AI tools for content generation is mandatory.    Ability to work collaboratively in a team and take initiative independently.    Data driven, detail-oriented with strong organisational skills.    Familiarity with SurferSEO or similar SEO software is desirable.    Familiarity with Wordpress or similar CMS software is desirable.    Knowledge or background in Accounting and Tax is a plus.      An industry competitive salary package    Health care for you and a dependant    Work remotely from your home and work from anywhere in the world for a month    Paid sick leave    A close knit team of supportive colleagues and a culture that is fun, friendly and committed to your career development    An environment that encourages innovation and the autonomy and freedom to apply your expertise    ']",['Posted: 1 day agoOpenings: 1Applicants: 56'],"['Role: Social Media Marketing,Industry Type: Accounting / Auditing,Department: Marketing & Communication,Employment Type: Full Time, PermanentRole Category: Digital Marketing']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsGraphicsCareer developmentWordpressCMSHealthcarecontent leadSEODigital marketingMarketing AssociateAuditing']
Trainee - Civil Engineer,['Nordic Intent4.151 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']",['  Analysis of concrete/asphalt pavement/roads     Zone division and mapping     Rating of asphalt/concrete as per ASCE (USA) code     Providing technical solutions and consultation     Budget allocation   '],['Posted: 1 day agoOpenings: 1Applicants: 527'],"['Role: Civil Engineer,Industry Type: IT Services & Consulting,Department: Construction & Site Engineering,Employment Type: Full Time, PermanentRole Category: Construction Engineering']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsCivilConsultingAsceBudgeting']
Accounts and Marketing Trainee,['Appsierra Solutions4.6242 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['  1. Bachelors degree in accounting, Finance, Marketing, or a related field.  2. Proven experience in bookkeeping and financial record management.  3. Previous exposure to marketing functions, including email and social media campaigns.  4. Familiarity with LinkedIn outreach and networking strategies.  5. Ability to manage and coordinate campus ambassador programs.  6. Proficient in using accounting software, MS Office Suite, tally and marketing tools    Responsibilities:     Accounts:   1. Perform bookkeeping tasks and maintain accurate financial records.  2. Prepare invoices, review account work, and reconcile ledgers.  3. Collaborate with the finance team to ensure compliance with financial regulations.  4. Assist in the preparation of financial statements and support audit processes.    Marketing:   1. Execute email campaigns to promote products or services.  2. Plan and implement WhatsApp campaigns to engage with the target audience.  3. Pitch and network on LinkedIn to expand the companys online presence.  4. Oversee and manage campus ambassador programs to enhance brand visibility.  5. Establish and maintain partnerships with colleges to strengthen brand relationships.  ']",['Posted: 1 day agoOpenings: 1Applicants: 1006'],"['Role: Marketing - Other,Industry Type: IT Services & Consulting,Department: Marketing & Communication,Employment Type: Full Time, PermanentRole Category: Marketing']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsMS Office suiteTallyFinancial statementsMarketing TraineeNetworkingSocial mediaBook KeepingManagementAccounting softwareAuditing']
"Associate - VKYC, Support",['SBI Card3.73504 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['    1.Review , execute and decision the allocated cases for Video KYC processes : This includes close coordination with the sales team spocs as well as the customer by conducting the Video KYC verification for potential /existing customer base (in line with the process /policy defined) .   2. Ensure 100% adherence to the regulations/policy defined for Video KYC process as well as KYC documents ( Officially valid documents -OVDs)   3. Ensure accurate updation of the decisioning files/system for the final decisions on the cases   4. Ensure that the benchmark productivity /accuracy TAT target is met also support team targets for the same   5. Ensure prioritisation and closure of urgent customer/internal stakeholders emails as well as VKYC refferals   6. Review the process and proactively identify the gaps highlight the same for changes - including communication templates/customer concerns/RCAs   7. Maintain/track process specific responsibilities assigned for any new changes in policies/systems/processes   8. Ensure near zero complaints from internal as well as external customers by ensuring accurate /timely execution of responsibilities   9. Cater to exceptional requests, escalation, queries and activities as required by the business   ']",['Posted: 30+ days agoOpenings: 1Applicants: 901'],"['Role: IT Support - Other,Industry Type: Education / Training,Department: IT & Information Security,Employment Type: Full Time, PermanentRole Category: IT Support']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsRCASales']
Technical - Recruiter,['Artech India3.285 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","[""Artech India is looking for Technical - Recruiter to join our dynamic team and embark on a rewarding career journey    Candidate Sourcing: Use various sourcing methods, such as job boards, social networks, professional associations, and internal databases, to identify potential candidates for technical and IT roles    Job Postings: Create and post job listings for technical positions, ensuring that they are compelling and optimized for relevant job boards and websites    Candidate Screening: Review resumes, conduct initial phone screens, and assess candidates' qualifications to determine their suitability for technical roles    Technical Assessment: Evaluate candidates' technical skills and knowledge through interviews, technical assessments, and reference checks    Interview Coordination: Schedule and conduct interviews, including technical and behavioral interviews, with candidates to assess their fit for the organization    Candidate Experience: Ensure a positive candidate experience throughout the recruitment process, providing feedback, communicating status updates, and addressing candidate questions and concerns    Collaboration: Work closely with hiring managers and technical teams to understand their staffing needs and preferences, aligning recruitment efforts with departmental goals    Talent Pipelining: Build and maintain a talent pipeline of potential candidates for future technical positions, fostering ongoing relationships    Offer Negotiation: Assist in preparing and negotiating job offers, ensuring they are competitive and align with the organization's compensation structure    Onboarding: Collaborate with HR and onboarding teams to facilitate the smooth transition of new hires into their roles    Data Management: Maintain accurate and up-to-date candidate and recruitment data in applicant tracking systems (ATS) or databases    Compliance: Ensure that all recruitment practices comply with legal and regulatory requirements, including equal employment opportunity (EEO) laws    Market Insights: Stay informed about industry trends, technical advancements, and market dynamics to understand the evolving talent landscape   ""]",['Posted: 30+ days agoOpenings: 1Applicants: 900'],"['Role: IT Recruiter,Industry Type: IT Services & Consulting,Department: Human Resources,Employment Type: Full Time, PermanentRole Category: Recruitment & Talent Acquisition']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsData managementComplianceStaffingLegalTransitionHRRecruitment']
Executive - Finance,['Artech India3.285 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","[""  The Finance Executive plays a crucial role in overseeing and managing financial activities within an organization    This role involves financial analysis, budgeting, financial reporting, and supporting strategic decision-making    The Finance Executive collaborates with cross-functional teams, provides financial insights, ensures compliance with regulations, and contributes to the overall financial health of the organization      Responsibilities:      Financial Planning and Analysis:Assist in the development and implementation of financial plans, budgets, and forecasts    Conduct financial analysis, including variance analysis, trend analysis, and key performance indicators (KPIs), to support decision-making    Monitor and analyze financial data, identifying areas for improvement and cost-saving opportunities    Collaborate with other departments to gather financial information and provide insights for business planning and strategy    Financial Reporting and Compliance:Prepare and review financial statements, including balance sheets, income statements, and cash flow statements    Ensure timely and accurate financial reporting, adhering to accounting principles and regulatory requirements    Monitor compliance with internal controls, policies, and procedures    Support external audits and coordinate with auditors to provide necessary financial information    Budgeting and Cost Management:Assist in the preparation and monitoring of budgets, providing analysis and recommendations to optimize resource allocation    Monitor and control expenses, identifying cost-saving measures and efficiency improvements    Track and analyze budget variances, providing explanations and recommendations for corrective actions    Cash Flow Management:Monitor and manage cash flow, ensuring sufficient liquidity for operational needs and financial obligations    Prepare cash flow forecasts and projections, identifying potential cash flow gaps or surpluses    Manage working capital, including accounts receivable and accounts payable, optimizing cash flow cycles    Financial Systems and Processes:Contribute to the development and improvement of financial systems, processes, and controls    Implement and maintain financial software and tools to support efficient financial operations    Identify opportunities for automation and streamlining of financial processes    Financial Risk Management:Identify financial risks and develop risk mitigation strategies    Monitor and manage financial risks, including credit risk, liquidity risk, and market risk    Develop and implement internal controls to safeguard assets and ensure compliance with regulations    Stakeholder Communication and Relationship Management:Collaborate with internal stakeholders, such as management, department heads, and business partners, to provide financial insights and support decision-making    Present financial analysis, reports, and recommendations to stakeholders, including senior management and the board of directors    Foster effective relationships with external stakeholders, such as banks, auditors, and regulatory bodies    Continuous Improvement:Stay updated with industry trends, best practices, and regulatory changes in finance    Continuously evaluate and improve financial processes, systems, and controls    Identify opportunities for process automation, efficiency gains, and cost savings      Qualifications:      Bachelor's degree in Finance, Accounting, or a related field    Professional certifications such as CPA (Certified Public Accountant) or CFA (Chartered Financial Analyst) are desirable    Proven experience in finance roles, with a focus on financial analysis, financial reporting, or financial planning and analysis    Strong understanding of financial principles, accounting standards, and financial regulations    Proficiency in financial analysis techniques, financial modeling, and budgeting    Advanced skills in MS Excel and financial software applications    Knowledge of financial systems and tools such as ERP (Enterprise Resource Planning) systems    Familiarity with financial risk management and internal control frameworks    Excellent analytical and problem-solving skills, with attention to detail    Strong communication and presentation skills, with the ability to convey complex financial information to non-financial stakeholder   ""]",['Posted: 30+ days agoOpenings: 1Applicants: 2608'],"['Role: Finance Executive,Industry Type: IT Services & Consulting,Department: Finance & Accounting,Employment Type: Full Time, PermanentRole Category: Finance']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsERPFinancial statementsFinancial reportingFinancial analysisCash flow managementFinancial planningBusiness planningCash flowVariance analysisMonitoring']
Customer Service - Sales - Housing - EM - Sales,['Tata Capital4.02 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']",['  Achieving business targets as laid down by acquiring new client relationships and maintaining them.   Graduate in any discipline   Identify target areas for prospective business    Pre-screen customer segments as per the organization norms    Ensure the number of log in along with disbursement    Ensure high customer satisfaction level by proactively understanding customer needs and cross- sell multiple products as per the requirements    Execute sales promotion activities to build customer interest in the TCFSL brand    Build strong client relationships both internally and externally and build a strong brand identification with potential customers.    Ensure vendor empanelment and develop relationships with new vendors.    Develop strong distribution channels    Ensure compliance to all Audit / RBI regulations.  '],['Posted: 30+ days agoOpenings: 1Applicants: 1084'],"['Role: Field Sales Executive,Industry Type: Financial Services,Department: Sales & Business Development,Employment Type: Full Time, PermanentRole Category: Retail & B2C Sales']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsComplianceCustomer satisfactionCREService salesCustomer serviceSales promotionAuditing']
Associate - Recruiter,['Artech India3.285 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","[""  As an Associate Recruiter, your primary responsibility is to support the recruitment process within an organization   You work closely with the recruiting team or the HR department to identify and attract qualified candidates for open positions   Here are some key aspects of the role:Job Posting and Sourcing: You assist in creating job descriptions and posting them on various job boards and company websites   You also participate in sourcing activities to identify potential candidates through online platforms, social media, referrals, and other sources   Screening and Selection: You review resumes and applications received for open positions, screen candidates based on predetermined criteria, and conduct initial phone or video interviews   You may also administer pre-employment assessments or tests as required   Interview Coordination: You help schedule interviews between candidates and hiring managers, ensuring that all necessary arrangements are made, such as coordinating availability, booking interview rooms, and sending interview confirmations   Candidate Relationship Management: You maintain regular communication with candidates throughout the recruitment process, providing updates on their application status and gathering feedback   You may also answer candidate inquiries and address any concerns they may have   Applicant Tracking System (ATS) Management: You use an ATS or recruitment software to track candidate information, update candidate profiles, and maintain recruitment-related data   You ensure that the system is up to date and accurate   Documentation and Compliance: You assist in preparing employment contracts, offer letters, and other recruitment-related documentation   You also ensure compliance with legal and company requirements, such as data protection regulations and equal employment opportunity guidelines   Recruitment Reporting: You generate recruitment reports and metrics to track key performance indicators (KPIs), such as time-to-fill, source of hire, and candidate conversion rates   These reports help evaluate the effectiveness of the recruitment process and identify areas for improvement   Employer Branding: You contribute to employer branding initiatives by promoting the organization's values, culture, and job opportunities through social media, career fairs, and other channels   You may also participate in employer branding events and activities    \xa0 ""]",['Posted: 30+ days agoOpenings: 1Applicants: 796'],"['Role: IT Recruiter,Industry Type: IT Services & Consulting,Department: Human Resources,Employment Type: Full Time, PermanentRole Category: Recruitment & Talent Acquisition']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsAssociate - Recruiter']
Executive - Talent Acquisition,['Artech India3.285 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","[""  As an Executive - Talent Acquisition, your primary responsibility is to attract, source, and recruit top talent to meet the organization's staffing needs   You will play a critical role in the talent acquisition process, from sourcing candidates to conducting interviews and facilitating the hiring process   Here is a comprehensive job description for an Executive - Talent Acquisition:Recruitment Strategy and Planning:Collaborate with hiring managers and stakeholders to understand staffing needs and develop recruitment strategies   Conduct job analysis and create job descriptions and specifications for open positions   Develop and implement effective sourcing strategies to attract a diverse pool of qualified candidates   Stay updated with industry trends, recruitment best practices, and innovative sourcing techniques   Candidate Sourcing and Screening:Source candidates through various channels, including job portals, social media, professional networks, and referrals   Review resumes, assess candidate qualifications, and conduct initial screening to shortlist potential candidates   Conduct phone or video interviews to evaluate candidate suitability and assess their skills, experience, and cultural fit   Maintain candidate databases and applicant tracking systems (ATS) with accurate and up-to-date candidate information   Interviewing and Selection:Coordinate and schedule interviews with candidates, hiring managers, and interview panels   Conduct in-person or virtual interviews, using behavioral and competency-based interviewing techniques   Evaluate candidate performance, provide feedback, and make recommendations to hiring managers   Facilitate candidate assessments, tests, or exercises to evaluate specific skills or competencies, as required   Relationship Management:Build and maintain relationships with candidates, ensuring a positive candidate experience throughout the recruitment process   Collaborate with hiring managers and stakeholders to establish effective communication and alignment on candidate profiles and requirements   Develop relationships with external recruitment agencies, universities, and professional organizations to source potential candidates    \xa0 ""]",['Posted: 30+ days agoOpenings: 1Applicants: 1109'],"['Role: Recruitment & Talent Acquisition - Other,Industry Type: IT Services & Consulting,Department: Human Resources,Employment Type: Full Time, PermanentRole Category: Recruitment & Talent Acquisition']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsTalent Acquisition Executive']
Associate - Finance,['Artech India3.285 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","[' Preparing financial reports, budgets, and forecastsConducting financial analysis and interpreting dataIdentifying and recommending ways to reduce costs and increase revenue   Assisting with financial audits and compliance reviewsManaging financial transactions and accounts payable/receivablePerforming financial modeling and scenario analysisRequirements:Strong analytical and problem-solving skillsExcellent written and verbal communication skills   Proficiency in Microsoft Excel and other financial softwareKnowledge of financial regulations and compliance requirementsAbility to manage multiple priorities and deadlines ']",['Posted: 30+ days agoOpenings: 1Applicants: 1994'],"['Role: Financial Analyst,Industry Type: IT Services & Consulting,Department: Finance & Accounting,Employment Type: Full Time, PermanentRole Category: Finance']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsFinancial Associate']
Executive - Accounts,['Artech India3.285 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","[""  As an Executive in the Accounts department, your primary responsibilities would include managing financial transactions, maintaining financial records, and ensuring compliance with financial regulations    Here are some key duties and tasks associated with the role:Financial Reporting: Prepare and analyze financial statements, including profit and loss statements, balance sheets, and cash flow statements    Generate financial reports for management and stakeholders    Budgeting and Forecasting: Assist in the development and monitoring of the company's budget    Prepare financial forecasts and variance analysis to help identify areas of concern or improvement    Accounts Payable: Process vendor invoices, ensure accuracy and timeliness of payments, and maintain vendor records    Coordinate with other departments to resolve any discrepancies or payment issues    Accounts Receivable: Manage customer invoicing, track receivables, and follow up on overdue payments    Maintain accurate records of customer accounts and ensure timely collection of outstanding amounts    General Ledger Maintenance: Maintain the general ledger by recording all financial transactions accurately and in a timely manner    Reconcile accounts and resolve any discrepancies or errors    Financial Analysis: Conduct financial analysis to identify trends, opportunities, and areas for cost reduction or revenue enhancement    Provide insights and recommendations based on the analysis to support decision-making    Compliance and Audit: Ensure compliance with financial regulations, accounting principles, and internal controls    Assist in coordinating and providing information for internal and external audits    Payroll Processing: Collaborate with the HR department to process payroll accurately and on time    Ensure proper deductions, tax withholdings, and compliance with payroll-related regulations    Financial Software and Systems: Utilize accounting software and systems to manage financial data, streamline processes, and generate accurate reports    Stay updated with the latest software enhancements and industry best practices    Communication and Collaboration: Collaborate with cross-functional teams, such as finance, operations, and management, to provide financial insights and support decision-making    Communicate effectively with internal and external stakeholders regarding financial matters     ""]",['Posted: 30+ days agoOpenings: 1Applicants: 1878'],"['Role: Finance Executive,Industry Type: IT Services & Consulting,Department: Finance & Accounting,Employment Type: Full Time, PermanentRole Category: Finance']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsAccounts Executive']
Executive - Finance,['Artech India3.285 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']",[' Preparation of Financial Statements  Bank Reconciliation  Adherence to US taxation and accounting laws  Monthly Expense provisioning/accruals  Departmental Allocations  Trend Analysis  Financial Analysis and Control    Competencies Required:   Strong hold over accounting and taxation concepts  Practical on the job experience during articleship/training/job  Preferable - experience in US accounting and tax filing  Finance qualification  Analytical abilities in dealing with large volume of data  Experience in auditing expense and financial statements '],['Posted: 30+ days agoOpenings: 1Applicants: 4967'],"['Role: Finance Executive,Industry Type: IT Services & Consulting,Department: Finance & Accounting,Employment Type: Full Time, PermanentRole Category: Finance']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsTrainingFinancial statementsBank reconciliationFinancial analysisAccountingAnalyticalTrend analysisFinance ExecutiveTaxationAuditing']
Executive,['Artech India3.285 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['      People Management                                                   Preparing various MIS reports, Dash Boards and companys profitability                               Posting GL entries                                         Filing Surveys and RFPs                               Data Management including extraction of raw data from the source database and converting it to useful information                     Data Management through Excel           Data              Handling in People Soft           Data entry and retrieval of information      ']",['Posted: 30+ days agoOpenings: 1Applicants: 2296'],"['Role: Data Entry / MIS,Industry Type: IT Services & Consulting,Department: Customer Success, Service & Operations,Employment Type: Full Time, PermanentRole Category: Back Office']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsMIS reportingRFPSExecutiveExcelData managementPeopleSoftDatabaseData entry']
Executive - Accounts,['Artech India3.285 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']",['  Preparation of Financial Statements   Bank Reconciliation   Adherence to US taxation and accounting laws   Monthly Expense provisioning/accruals   Departmental Allocations   Trend Analysis   Financial Analysis and Control     Competencies Required:   Strong hold over accounting and taxation concepts   Practical on the job experience during articleship/training/job   Preferable - experience in US accounting and tax filing   Finance qualification   Analytical abilities in dealing with large volume of data   Experience in auditing expense and financial statements  '],['Posted: 30+ days agoOpenings: 1Applicants: 4052'],"['Role: Accountant / Accounts Executive,Industry Type: IT Services & Consulting,Department: Finance & Accounting,Employment Type: Full Time, PermanentRole Category: Accounting & Taxation']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsTrainingFinancial statementsBank reconciliationFinancial analysisAccountingAnalyticalTrend analysisAccounts ExecutiveTaxationAuditing']
Sales Intern,['Smart Ed Techno Solutions'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['   Excellent understanding of social media and handling of business pages of a company.        Excellent understanding of LinkedIn and its career pages.       Willingness to understand and handle the business requirements of the company.        Excellent administrative and organizational skills.         Effective communication, interpersonal and people skills.         Proficiency in handling Microsoft Office applications like MS Excel, MS PowerPoint and MS Word, etc.          Qualifications          Final year students from Marketing or equivalent fields .      Women looking to restart their career can also apply.          Internship Details          Experience- 0-1 year    ']",['Posted: 30+ days agoOpenings: 1Applicants: 69'],"['Role: Direct Sales Executive,Industry Type: Education / Training,Department: Sales & Business Development,Employment Type: Full Time, PermanentRole Category: Retail & B2C Sales']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsAdministrationTalent acquisitionStaffingSocial mediaWeb developmentHRPowerpointMS OfficeInternshipRecruitment']
HR INTERNSHIP (RECRUITMENT),['Smart Ed Techno Solutions'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['  Looking to broaden your horizons and venture in the field of Human Resources. Look no further, come work with us at Genie Hire. Genie Hire is a reputed firm serving pan India since 2021. It has been immensely successful in creating a global presence in software and Web development.   Genie hire has ventured its way into Recruitment as a recruitment consultancy. We cater to the needs of all- startups, mid-sized companies to big MNCs as well. We also tie up with HR managers to Talent Acquisition partners for finding their staffing needs. We specialize in IT/Non- IT domestic/international hiring as well.       Requirements-     Proficiency in handling Microsoft Office applications like MS Excel, PowerPoint and MS Word, etc.        Excellent administrative and organizational skills.        Effective communication, interpersonal and people skills.        Effective recruitment.         Qualifications         Final year students from Human Resources or equivalent field . Women looking to restart their career can also apply.         Internship Details         Experience- 0-1 year      \xa0    Perks and Benefits   Commission basis (for every lead onboarded you get a commission)        ']",['Posted: 30+ days agoOpenings: 1Applicants: 545'],"['Role: IT Recruiter,Industry Type: Education / Training,Department: Human Resources,Employment Type: Full Time, PermanentRole Category: Recruitment & Talent Acquisition']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsAdministrationExcelTalent acquisitionStaffingWeb developmentHRMS WordMS OfficeInternshipRecruitment']
HR Intern,['Smart Ed Techno Solutions'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['   Skills Required:       Proficiency in handling Microsoft Office applications like Ms Excel, PowerPoint and Ms Word, etc.   Excellent administrative and organizational skills.   Effective communication, interpersonal and people skills.   Effective recruitment.   \xa0    Qualifications:       Final year students from Human Resources or equivalent field .     Internship Details:       Experience- 0-1 year  ']",['Posted: 30+ days agoOpenings: 1Applicants: 221'],"['Role: HR Generalist,Industry Type: Education / Training,Department: Human Resources,Employment Type: Full Time, PermanentRole Category: HR Operations']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsTrainingAdministrationExcelHR InternHRMS WordMS OfficePowerpointInternshipRecruitment']
VRX Consultant,['VISION RX LAB4.3151 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['   Business Development     Implementation of marketing strategies in all the respective territories   Supporting marketing activities by attending trade shows, conferences and other marketing events   Developing long-term relationships with clients, through managing and interpreting their requirements   Liaison with other members of the sales team and other technical experts   Providing pre-sales technical assistance and product education to client on a regular basis   Making technical presentations and demonstrating how a product meets client needs       Training      Providing training and producing support material for other members of the sales team   Providing training to the In-house team, Sales Team, Customer Service Team & New Joinees on products and services   Arranging and carrying out product training and analysing sales of product and act accordingly       Trouble Shooting:     Handling and addressing all the customer & product queries.    Prepare a monthly report on the technical issues faced and resolved.    Performance Assessment / Appraisal will be based upon the business generation of the product at the particular region. ']",['Posted: 30+ days agoOpenings: 1Applicants: 1299'],"['Role: Technical Trainer,Industry Type: Medical Services / Hospital,Department: Teaching & Training,Employment Type: Full Time, PermanentRole Category: Corporate Training']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsProduct trainingProduction managementSalesProductionPresalesCustomer serviceSales trainingManagementTroubleshootingEvent marketing']
Digital Marketing Trainee,['Hello Brand'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['   If you are trained and aware of the new social media trends and emerging marketing strategies, we are ready to provide a golden opportunity of working with the most equipped digital marketing professionals.     Must have in-depth knowledge in:    On page   Off-page   Social media management   Google Ads    ']",['Posted: 30+ days agoOpenings: 1Applicants: 587'],"['Role: Marketing and Communication - Other,Industry Type: Advertising & Marketing,Department: Marketing & Communication,Employment Type: Full Time, PermanentRole Category: Marketing and Communication - Other']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsMedia managementSocial mediadigital marketing trainee']
